TimeZoneId	GMT offset 1. Jan 2012	DST offset 1. Jul 2012	rawOffset (independant of DST)
America/Danmarkshavn	0.0	0.0	0.0
America/Dawson	-8.0	-7.0	-8.0
America/Dawson_Creek	-7.0	-7.0	-7.0
America/Denver	-7.0	-6.0	-7.0
America/Detroit	-5.0	-4.0	-5.0
America/Dominica	-4.0	-4.0	-4.0
America/Edmonton	-7.0	-6.0	-7.0
America/Eirunepe	-4.0	-4.0	-4.0
America/El_Salvador	-6.0	-6.0	-6.0
America/Fortaleza	-3.0	-3.0	-3.0
America/Glace_Bay	-4.0	-3.0	-4.0
America/Godthab	-3.0	-2.0	-3.0
America/Goose_Bay	-4.0	-3.0	-4.0
America/Grand_Turk	-5.0	-4.0	-5.0
America/Grenada	-4.0	-4.0	-4.0
America/Guadeloupe	-4.0	-4.0	-4.0
America/Guatemala	-6.0	-6.0	-6.0
America/Guayaquil	-5.0	-5.0	-5.0
America/Guyana	-4.0	-4.0	-4.0
America/Halifax	-4.0	-3.0	-4.0
America/Havana	-5.0	-4.0	-5.0
America/Hermosillo	-7.0	-7.0	-7.0
America/Indiana/Indianapolis	-5.0	-4.0	-5.0
America/Indiana/Knox	-6.0	-5.0	-6.0
America/Indiana/Marengo	-5.0	-4.0	-5.0
America/Indiana/Petersburg	-5.0	-4.0	-5.0
America/Indiana/Tell_City	-6.0	-5.0	-6.0
America/Indiana/Vevay	-5.0	-4.0	-5.0
America/Indiana/Vincennes	-5.0	-4.0	-5.0
America/Indiana/Winamac	-5.0	-4.0	-5.0
America/Inuvik	-7.0	-6.0	-7.0
America/Iqaluit	-5.0	-4.0	-5.0
America/Jamaica	-5.0	-5.0	-5.0
America/Juneau	-9.0	-8.0	-9.0
America/Kentucky/Louisville	-5.0	-4.0	-5.0
America/Kentucky/Monticello	-5.0	-4.0	-5.0
America/Kralendijk	-4.0	-4.0	-4.0
America/La_Paz	-4.0	-4.0	-4.0
America/Lima	-5.0	-5.0	-5.0
America/Los_Angeles	-8.0	-7.0	-8.0
America/Lower_Princes	-4.0	-4.0	-4.0
America/Maceio	-3.0	-3.0	-3.0
America/Managua	-6.0	-6.0	-6.0
America/Manaus	-4.0	-4.0	-4.0
America/Marigot	-4.0	-4.0	-4.0
America/Martinique	-4.0	-4.0	-4.0
America/Matamoros	-6.0	-5.0	-6.0
America/Mazatlan	-7.0	-6.0	-7.0
America/Menominee	-6.0	-5.0	-6.0
America/Merida	-6.0	-5.0	-6.0
America/Metlakatla	-8.0	-8.0	-8.0
America/Mexico_City	-6.0	-5.0	-6.0
America/Miquelon	-3.0	-2.0	-3.0
America/Moncton	-4.0	-3.0	-4.0
America/Monterrey	-6.0	-5.0	-6.0
America/Montevideo	-2.0	-3.0	-3.0
America/Montreal	-5.0	-4.0	-5.0
America/Montserrat	-4.0	-4.0	-4.0
America/Nassau	-5.0	-4.0	-5.0
America/New_York	-5.0	-4.0	-5.0
America/Nipigon	-5.0	-4.0	-5.0
America/Nome	-9.0	-8.0	-9.0
America/Noronha	-2.0	-2.0	-2.0
America/North_Dakota/Beulah	-6.0	-5.0	-6.0
America/North_Dakota/Center	-6.0	-5.0	-6.0
America/North_Dakota/New_Salem	-6.0	-5.0	-6.0
America/Ojinaga	-7.0	-6.0	-7.0
America/Panama	-5.0	-5.0	-5.0
America/Pangnirtung	-5.0	-4.0	-5.0
America/Paramaribo	-3.0	-3.0	-3.0
America/Phoenix	-7.0	-7.0	-7.0
America/Port-au-Prince	-5.0	-5.0	-5.0
America/Port_of_Spain	-4.0	-4.0	-4.0
America/Porto_Velho	-4.0	-4.0	-4.0
America/Puerto_Rico	-4.0	-4.0	-4.0
America/Rainy_River	-6.0	-5.0	-6.0
America/Rankin_Inlet	-6.0	-5.0	-6.0
America/Recife	-3.0	-3.0	-3.0
America/Regina	-6.0	-6.0	-6.0
America/Resolute	-6.0	-5.0	-6.0
America/Rio_Branco	-4.0	-4.0	-4.0
America/Santa_Isabel	-8.0	-7.0	-8.0
America/Santarem	-3.0	-3.0	-3.0
America/Santiago	-3.0	-4.0	-4.0
America/Santo_Domingo	-4.0	-4.0	-4.0
America/Sao_Paulo	-2.0	-3.0	-3.0
America/Scoresbysund	-1.0	0.0	-1.0
America/Shiprock	-7.0	-6.0	-7.0
America/Sitka	-9.0	-8.0	-9.0
America/St_Barthelemy	-4.0	-4.0	-4.0
America/St_Johns	-3.5	-2.5	-3.5
America/St_Kitts	-4.0	-4.0	-4.0
America/St_Lucia	-4.0	-4.0	-4.0
America/St_Thomas	-4.0	-4.0	-4.0
America/St_Vincent	-4.0	-4.0	-4.0
America/Swift_Current	-6.0	-6.0	-6.0
America/Tegucigalpa	-6.0	-6.0	-6.0
America/Thule	-4.0	-3.0	-4.0
America/Thunder_Bay	-5.0	-4.0	-5.0
America/Tijuana	-8.0	-7.0	-8.0
America/Toronto	-5.0	-4.0	-5.0
America/Tortola	-4.0	-4.0	-4.0
America/Vancouver	-8.0	-7.0	-8.0
America/Whitehorse	-8.0	-7.0	-8.0
America/Winnipeg	-6.0	-5.0	-6.0
America/Yakutat	-9.0	-8.0	-9.0
America/Yellowknife	-7.0	-6.0	-7.0
Antarctica/Casey	8.0	8.0	8.0
Antarctica/Davis	7.0	7.0	7.0
Antarctica/DumontDUrville	10.0	10.0	10.0
Antarctica/Macquarie	11.0	11.0	11.0
Antarctica/Mawson	5.0	5.0	5.0
Antarctica/McMurdo	13.0	12.0	12.0
Antarctica/Palmer	-3.0	-4.0	-4.0
Antarctica/Rothera	-3.0	-3.0	-3.0
Antarctica/South_Pole	13.0	12.0	12.0
Antarctica/Syowa	3.0	3.0	3.0
Antarctica/Vostok	6.0	6.0	6.0
Arctic/Longyearbyen	1.0	2.0	1.0
Asia/Aden	3.0	3.0	3.0
Asia/Almaty	6.0	6.0	6.0
Asia/Amman	2.0	3.0	2.0
Asia/Anadyr	12.0	12.0	12.0
Asia/Aqtau	5.0	5.0	5.0
Asia/Aqtobe	5.0	5.0	5.0
Asia/Ashgabat	5.0	5.0	5.0
Asia/Baghdad	3.0	3.0	3.0
Asia/Bahrain	3.0	3.0	3.0
Asia/Baku	4.0	5.0	4.0
Asia/Bangkok	7.0	7.0	7.0
Asia/Beirut	2.0	3.0	2.0
Asia/Bishkek	6.0	6.0	6.0
Asia/Brunei	8.0	8.0	8.0
Asia/Choibalsan	8.0	8.0	8.0
Asia/Chongqing	8.0	8.0	8.0
Asia/Colombo	5.5	5.5	5.5
Asia/Damascus	2.0	3.0	2.0
Asia/Dhaka	6.0	6.0	6.0
Asia/Dili	9.0	9.0	9.0
Asia/Dubai	4.0	4.0	4.0
Asia/Dushanbe	5.0	5.0	5.0
Asia/Gaza	2.0	2.0	2.0
Asia/Harbin	8.0	8.0	8.0
Asia/Hebron	2.0	2.0	2.0
Asia/Ho_Chi_Minh	7.0	7.0	7.0
Asia/Hong_Kong	8.0	8.0	8.0
Asia/Hovd	7.0	7.0	7.0
Asia/Irkutsk	9.0	9.0	9.0
Asia/Jakarta	7.0	7.0	7.0
Asia/Jayapura	9.0	9.0	9.0
Asia/Jerusalem	2.0	3.0	2.0
Asia/Kabul	4.5	4.5	4.5
Asia/Kamchatka	12.0	12.0	12.0
Asia/Karachi	5.0	5.0	5.0
Asia/Kashgar	8.0	8.0	8.0
Asia/Kathmandu	5.75	5.75	5.75
Asia/Kolkata	5.5	5.5	5.5
Asia/Krasnoyarsk	8.0	8.0	8.0
Asia/Kuala_Lumpur	8.0	8.0	8.0
Asia/Kuching	8.0	8.0	8.0
Asia/Kuwait	3.0	3.0	3.0
Asia/Macau	8.0	8.0	8.0
Asia/Magadan	12.0	12.0	12.0
Asia/Makassar	8.0	8.0	8.0
Asia/Manila	8.0	8.0	8.0
Asia/Muscat	4.0	4.0	4.0
Asia/Nicosia	2.0	3.0	2.0
Asia/Novokuznetsk	7.0	7.0	7.0
Asia/Novosibirsk	7.0	7.0	7.0
Asia/Omsk	7.0	7.0	7.0
Asia/Oral	5.0	5.0	5.0
Asia/Phnom_Penh	7.0	7.0	7.0
Asia/Pontianak	7.0	7.0	7.0
Asia/Pyongyang	9.0	9.0	9.0
Asia/Qatar	3.0	3.0	3.0
Asia/Qyzylorda	6.0	6.0	6.0
Asia/Rangoon	6.5	6.5	6.5
Asia/Riyadh	3.0	3.0	3.0
Asia/Sakhalin	11.0	11.0	11.0
Asia/Samarkand	5.0	5.0	5.0
Asia/Seoul	9.0	9.0	9.0
Asia/Shanghai	8.0	8.0	8.0
Asia/Singapore	8.0	8.0	8.0
Asia/Taipei	8.0	8.0	8.0
Asia/Tashkent	5.0	5.0	5.0
Asia/Tbilisi	4.0	4.0	4.0
Asia/Tehran	3.5	4.5	3.5
Asia/Thimphu	6.0	6.0	6.0
Asia/Tokyo	9.0	9.0	9.0
Asia/Ulaanbaatar	8.0	8.0	8.0
Asia/Urumqi	8.0	8.0	8.0
Asia/Vientiane	7.0	7.0	7.0
Asia/Vladivostok	11.0	11.0	11.0
Asia/Yakutsk	10.0	10.0	10.0
Asia/Yekaterinburg	6.0	6.0	6.0
Asia/Yerevan	4.0	5.0	4.0
Atlantic/Azores	-1.0	0.0	-1.0
Atlantic/Bermuda	-4.0	-3.0	-4.0
Atlantic/Canary	0.0	1.0	0.0
Atlantic/Cape_Verde	-1.0	-1.0	-1.0
Atlantic/Faroe	0.0	1.0	0.0
Atlantic/Madeira	0.0	1.0	0.0
Atlantic/Reykjavik	0.0	0.0	0.0
Atlantic/South_Georgia	-2.0	-2.0	-2.0
Atlantic/St_Helena	0.0	0.0	0.0
Atlantic/Stanley	-3.0	-4.0	-4.0
Australia/Adelaide	10.5	9.5	9.5
Australia/Brisbane	10.0	10.0	10.0
Australia/Broken_Hill	10.5	9.5	9.5
Australia/Currie	11.0	10.0	10.0
Australia/Darwin	9.5	9.5	9.5
Australia/Eucla	8.75	8.75	8.75
Australia/Hobart	11.0	10.0	10.0
Australia/Lindeman	10.0	10.0	10.0
Australia/Lord_Howe	11.0	10.5	10.5
Australia/Melbourne	11.0	10.0	10.0
Australia/Perth	8.0	8.0	8.0
Australia/Sydney	11.0	10.0	10.0
Europe/Amsterdam	1.0	2.0	1.0
Europe/Andorra	1.0	2.0	1.0
Europe/Athens	2.0	3.0	2.0
Europe/Belgrade	1.0	2.0	1.0
Europe/Berlin	1.0	2.0	1.0
Europe/Bratislava	1.0	2.0	1.0
Europe/Brussels	1.0	2.0	1.0
Europe/Bucharest	2.0	3.0	2.0
Europe/Budapest	1.0	2.0	1.0
Europe/Chisinau	2.0	3.0	2.0
Europe/Copenhagen	1.0	2.0	1.0
Europe/Dublin	0.0	1.0	0.0
Europe/Gibraltar	1.0	2.0	1.0
Europe/Guernsey	0.0	1.0	0.0
Europe/Helsinki	2.0	3.0	2.0
Europe/Isle_of_Man	0.0	1.0	0.0
Europe/Istanbul	2.0	3.0	2.0
Europe/Jersey	0.0	1.0	0.0
Europe/Kaliningrad	3.0	3.0	3.0
Europe/Kiev	2.0	3.0	2.0
Europe/Lisbon	0.0	1.0	0.0
Europe/Ljubljana	1.0	2.0	1.0
Europe/London	0.0	1.0	0.0
Europe/Luxembourg	1.0	2.0	1.0
Europe/Madrid	1.0	2.0	1.0
Europe/Malta	1.0	2.0	1.0
Europe/Mariehamn	2.0	3.0	2.0
Europe/Minsk	3.0	3.0	3.0
Europe/Monaco	1.0	2.0	1.0
Europe/Moscow	4.0	4.0	4.0
Europe/Oslo	1.0	2.0	1.0
Europe/Paris	1.0	2.0	1.0
Europe/Podgorica	1.0	2.0	1.0
Europe/Prague	1.0	2.0	1.0
Europe/Riga	2.0	3.0	2.0
Europe/Rome	1.0	2.0	1.0
Europe/Samara	4.0	4.0	4.0
Europe/San_Marino	1.0	2.0	1.0
Europe/Sarajevo	1.0	2.0	1.0
Europe/Simferopol	2.0	3.0	2.0
Europe/Skopje	1.0	2.0	1.0
Europe/Sofia	2.0	3.0	2.0
Europe/Stockholm	1.0	2.0	1.0
Europe/Tallinn	2.0	3.0	2.0
Europe/Tirane	1.0	2.0	1.0
Europe/Uzhgorod	2.0	3.0	2.0
Europe/Vaduz	1.0	2.0	1.0
Europe/Vatican	1.0	2.0	1.0
Europe/Vienna	1.0	2.0	1.0
Europe/Vilnius	2.0	3.0	2.0
Europe/Volgograd	4.0	4.0	4.0
Europe/Warsaw	1.0	2.0	1.0
Europe/Zagreb	1.0	2.0	1.0
Europe/Zaporozhye	2.0	3.0	2.0
Europe/Zurich	1.0	2.0	1.0
Indian/Antananarivo	3.0	3.0	3.0
Indian/Chagos	6.0	6.0	6.0
Indian/Christmas	7.0	7.0	7.0
Indian/Cocos	6.5	6.5	6.5
Indian/Comoro	3.0	3.0	3.0
Indian/Kerguelen	5.0	5.0	5.0
Indian/Mahe	4.0	4.0	4.0
Indian/Maldives	5.0	5.0	5.0
Indian/Mauritius	4.0	4.0	4.0
Indian/Mayotte	3.0	3.0	3.0
Indian/Reunion	4.0	4.0	4.0
Pacific/Apia	14.0	13.0	13.0
Pacific/Auckland	13.0	12.0	12.0
Pacific/Chatham	13.75	12.75	12.75
Pacific/Chuuk	10.0	10.0	10.0
Pacific/Easter	-5.0	-6.0	-6.0
Pacific/Efate	11.0	11.0	11.0
Pacific/Enderbury	13.0	13.0	13.0
Pacific/Fakaofo	-10.0	-10.0	-10.0
Pacific/Fiji	13.0	12.0	12.0
Pacific/Funafuti	12.0	12.0	12.0
Pacific/Galapagos	-6.0	-6.0	-6.0
Pacific/Gambier	-9.0	-9.0	-9.0
Pacific/Guadalcanal	11.0	11.0	11.0
Pacific/Guam	10.0	10.0	10.0
Pacific/Honolulu	-10.0	-10.0	-10.0
Pacific/Johnston	-10.0	-10.0	-10.0
Pacific/Kiritimati	14.0	14.0	14.0
Pacific/Kosrae	11.0	11.0	11.0
Pacific/Kwajalein	12.0	12.0	12.0
Pacific/Majuro	12.0	12.0	12.0
Pacific/Marquesas	-9.5	-9.5	-9.5
Pacific/Midway	-11.0	-11.0	-11.0
Pacific/Nauru	12.0	12.0	12.0
Pacific/Niue	-11.0	-11.0	-11.0
Pacific/Norfolk	11.5	11.5	11.5
Pacific/Noumea	11.0	11.0	11.0
Pacific/Pago_Pago	-11.0	-11.0	-11.0
Pacific/Palau	9.0	9.0	9.0
Pacific/Pitcairn	-8.0	-8.0	-8.0
Pacific/Pohnpei	11.0	11.0	11.0
Pacific/Port_Moresby	10.0	10.0	10.0
Pacific/Rarotonga	-10.0	-10.0	-10.0
Pacific/Saipan	10.0	10.0	10.0
Pacific/Tahiti	-10.0	-10.0	-10.0
Pacific/Tarawa	12.0	12.0	12.0
Pacific/Tongatapu	13.0	13.0	13.0
Pacific/Wake	12.0	12.0	12.0
Pacific/Wallis	12.0	12.0	12.0
